source_id,source_url,publisher,publisher_group,market,market_code,source_type,signal_role,reliability_level,verified_at,evidence_url,registry_status,collection_status,collection_method,notes
TW-A01,https://www.twse.com.tw/,臺灣證券交易所,twse,Taiwan,TW,OFFICIAL_EXCHANGE,FACT,A,2026-08-13,https://www.twse.com.tw/,ACTIVE,MANUAL_OR_DOWNLOAD,HTML_DOWNLOAD,"市场行情、指数、法人及公告；数字需记录查询时间"
TW-A02,https://openapi.twse.com.tw/,臺灣證券交易所 OpenAPI,twse,Taiwan,TW,OFFICIAL_API,FACT,A,2026-08-13,https://openapi.twse.com.tw/,ACTIVE,API_VERIFIED,OPENAPI,"已确认 OpenAPI 入口；不得假设包含实时逐笔"
TW-A03,https://mops.twse.com.tw/mops/web/index,公開資訊觀測站,twse,Taiwan,TW,COMPANY_DISCLOSURE,FACT,A,2026-08-13,https://mops.twse.com.tw/mops/web/index,ACTIVE,NEEDS_TECHNICAL_VALIDATION,HTML_DOWNLOAD,"重大讯息、财报、法说会、月营收；个股新闻首要回查源"
TW-A04,https://www.tpex.org.tw/,證券櫃檯買賣中心,tpex,Taiwan,TW,OFFICIAL_EXCHANGE,FACT,A,2026-08-13,https://www.tpex.org.tw/,ACTIVE,NEEDS_TECHNICAL_VALIDATION,HTML_DOWNLOAD,"覆盖上柜与兴柜；不得与 TWSE 市场字段混淆"
TW-A06,https://www.taifex.com.tw/,臺灣期貨交易所,taifex,Taiwan,TW,OFFICIAL_EXCHANGE,FACT,A,2026-08-13,https://www.taifex.com.tw/enl/eIndex,ACTIVE,NEEDS_TECHNICAL_VALIDATION,HTML_DOWNLOAD,"期货、选择权、夜盘与结算资料"
TW-A07,https://www.taifex.com.tw/cht/3/futContractsDate,臺灣期貨交易所三大法人統計,taifex,Taiwan,TW,OFFICIAL_DATA,FACT,A,2026-08-13,https://www.taifex.com.tw/enl/eng3/totalTableDate,ACTIVE,NEEDS_TECHNICAL_VALIDATION,HTML_DOWNLOAD,"需保存日期、契约和单位"
TW-A09,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2",金融監督管理委員會,fsc,Taiwan,TW,REGULATOR,FACT,A,2026-08-13,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2",ACTIVE,MANUAL_OR_HTML,HTML,"金融政策、处分与澄清；保留原文"
TW-A10,"https://www.sfb.gov.tw/ch/home.jsp?id=2&parentpath=0",金融監督管理委員會證券期貨局,fsc,Taiwan,TW,REGULATOR,FACT,A,2026-08-13,"https://www.sfb.gov.tw/ch/home.jsp?id=2&parentpath=0",ACTIVE,MANUAL_OR_HTML,HTML,"证券期货监管；与 FSC 同 publisher_group"
TW-A12,https://www.cbc.gov.tw/,中央銀行,cbc,Taiwan,TW,OFFICIAL_MACRO,FACT,A,2026-08-13,https://www.cbc.gov.tw/,ACTIVE,MANUAL_OR_DOWNLOAD,HTML_DOWNLOAD,"政策声明、理监事会与重要指标"
TW-B01,https://www.cna.com.tw/list/asc.aspx,中央通訊社,cna,Taiwan,TW,MAINSTREAM_MEDIA,FACT_DISCOVERY,B,2026-08-13,https://www.cna.com.tw/list/asc.aspx,ACTIVE,NEEDS_TERMS_REVIEW,HTML,"用于新闻发现；重要数字仍回查官方或公司"
TW-B02,https://money.udn.com/,經濟日報,udn_money,Taiwan,TW,FINANCIAL_MEDIA,TREND_DISCOVERY,B,2026-08-13,https://money.udn.com/rank/newest/1001,ACTIVE,NEEDS_TERMS_REVIEW,HTML,"保留原作者与发布时间；注意付费内容"
TW-B03,https://www.ctee.com.tw/,工商時報,ctee,Taiwan,TW,FINANCIAL_MEDIA,TREND_DISCOVERY,B,2026-08-13,https://service.ctee.com.tw/edm/app/,ACTIVE,BLOCKED_ROBOTS_OR_NEEDS_PERMISSION,MANUAL_ONLY,"存在性已确认；不得绕过 robots 或访问限制"
TW-B04,https://tw.stock.yahoo.com/,Yahoo奇摩股市,yahoo_taiwan,Taiwan,TW,FINANCIAL_AGGREGATOR,TREND_DISCOVERY,B,2026-08-13,https://tw.stock.yahoo.com/news/,ACTIVE,NEEDS_TERMS_REVIEW,HTML,"聚合内容必须保存原发布者；不得假设非公开 API"
TW-B05,https://news.cnyes.com/,Anue鉅亨網,cnyes,Taiwan,TW,FINANCIAL_MEDIA,TREND_DISCOVERY,B,2026-08-13,https://news.cnyes.com/news/cat/headline,ACTIVE,NEEDS_TERMS_REVIEW,HTML,"适合台美跨市场联动；关键数字回查原始源"
TW-B06,https://www.moneydj.com/,MoneyDJ理財網,moneydj,Taiwan,TW,FINANCIAL_MEDIA,TREND_DISCOVERY,B,2026-08-13,https://www.moneydj.com/KMDJ/News/NewsRealList.aspx?a=MB010000,ACTIVE,NEEDS_TERMS_REVIEW,HTML,"适合即时财经发现；不替代官方证据"
TW-B07,https://technews.tw/,TechNews科技新報,technews,Taiwan,TW,INDUSTRY_MEDIA,TREND_ANALYSIS,B,2026-08-13,https://technews.tw/,ACTIVE,NEEDS_TERMS_REVIEW,HTML,"半导体与 AI 产业热点；区分原创与转载"
TW-B08,https://www.digitimes.com.tw/,DIGITIMES,digitimes,Taiwan,TW,INDUSTRY_MEDIA,TREND_ANALYSIS,B,2026-08-13,https://www.digitimes.com.tw/,ACTIVE,NEEDS_LICENSE_OR_TERMS_REVIEW,HTML_SUBSCRIPTION,"不得绕过付费墙；深度内容需遵守订阅与授权"
