序号,X账号,账号名称,简介,粉丝数,地区,X链接,账号角色,主要市场,影响股票行情的路径,关注优先级,可信度／使用提示
1,@nvidia,NVIDIA,The official handle for NVIDIA. Blog: https://t.co/JAn5eKOTBT Support: https://t.co/6ln5FVnA2o All our social media: https://t.co/Uc56dL57Dh,2610487,"Santa Clara, CA",https://x.com/nvidia,上市公司官方,美股／AI半导体,产品、合作、财报及生态消息会影响 NVIDIA 与台湾 AI 供应链,核心关注,一手公司信息；业绩数字以正式公告为准
2,@claudeai,Claude,"Claude is an AI assistant built by @anthropicai to be safe, accurate, and secure. Talk to Claude on https://t.co/ZhTwG8dz3D or download the app.",1649784,,https://x.com/claudeai,AI产品官方,美股AI产业链,Claude产品与采用情况可影响Anthropic及其云合作方的市场预期,观察名单,一手产品信息；避免与Anthropic母账号重复计数
3,@AnthropicAI,Anthropic,"We're an AI safety and research company that builds reliable, interpretable, and steerable AI systems. Talk to our AI assistant @claudeai on https://t.co/FhDI3KQh0n.",1536443,,https://x.com/AnthropicAI,AI公司官方,美股AI产业链,模型、融资、云合作与政策消息可影响亚马逊、谷歌及AI板块,核心关注,一手公司信息；对合作方财务影响需另行验证
4,@deepseek_ai,DeepSeek,Unravel the mystery of AGI with curiosity. Answer the essential question with long-termism.,1047500,,https://x.com/deepseek_ai,AI公司官方,中国AI＋全球半导体,模型发布和成本突破曾显著改变AI算力与芯片需求预期,核心关注,一手产品信息；性能、成本和训练细节需独立验证
5,@miramurati,Mira Murati,Now building @thinkymachines. Previously CTO @OpenAI,785829,"San Francisco, CA",https://x.com/miramurati,AI创业公司高管,美股AI产业链,重要融资、人才和模型发布可能影响AI竞争格局与板块情绪,观察名单,个人／高管账号；以公司正式披露为准
6,@DarioAmodei,Dario Amodei,Anthropic CEO. https://t.co/qXHIf42jTl,499440,,https://x.com/DarioAmodei,AI公司高管,美股AI产业链,Anthropic CEO 对算力、模型、政策与合作的表态可能影响亚马逊、谷歌及AI板块,核心关注,高管一手观点；需与公司公告及合作方披露交叉验证
7,@perplexity_ai,Perplexity,"Curiosity changes everything. Download our free app on iOS, Mac, Windows, and Android.",497925,"San Francisco, CA",https://x.com/perplexity_ai,AI公司官方,美股AI产业链,搜索产品、融资及合作消息可影响 Alphabet、微软和AI应用板块预期,观察名单,一手公司信息；私营公司动态对股票多为间接影响
8,@JeffDean,Jeff Dean,"Chief Scientist, Google DeepMind & Google Research. Gemini Lead. Opinions stated here are my own, not those of Google. TensorFlow, MapReduce, Bigtable, ...",448842,,https://x.com/JeffDean,AI研究领袖,美股AI,前Google首席科学家的研究和产业动向可作为AI技术趋势信号,观察名单,当前个人／创业动态为主，对上市公司影响间接
9,@OpenAIDevs,OpenAI Developers,Official updates for developers building with Codex & the OpenAI Platform • Service status: https://t.co/kZwnwdYYEq,380394,,https://x.com/OpenAIDevs,AI公司官方,美股AI产业链,API、Codex和平台更新可改变云计算与AI应用竞争预期,核心关注,一手开发者产品信息；股价影响多为间接
10,@NVIDIAAI,NVIDIA AI,Teaching your AI new tricks.,321388,"Santa Clara, CA",https://x.com/NVIDIAAI,上市公司产品官方,美股／AI半导体,NVIDIA AI软件、模型与生态更新会影响GPU需求和AI供应链预期,核心关注,一手产品信息；避免与母公司账号重复计数
11,@Kimi_Moonshot,Kimi.ai,Built by Moonshot AI to empower everyone to be superhuman. \n@Kimidevs built for developers\n⚡️API: https://t.co/XCrgjXAqMw\nDC: https://t.co/wBsBTn6Ncc,282357,,https://x.com/Kimi_Moonshot,AI公司官方,中国AI,模型、融资和产品进展可影响中国AI竞争及相关科技股情绪,观察名单,一手公司信息；私营公司动态对股票多为间接影响
12,@mingchikuo,郭明錤｜Ming-Chi Kuo,香港天風國際證券分析師，分享科技產業趨勢觀察｜TF International Securities (HK) analyst sharing tech trend insights,248657,Taiwan,https://x.com/mingchikuo,券商分析师,台湾＋美股科技,苹果、AI硬件及台系供应链预测经常影响相关个股预期,核心关注,研究判断与供应链调查，属于观点而非公司确认
13,@Alibaba_Qwen,Qwen,Open foundation models for AGI.,225705,,https://x.com/Alibaba_Qwen,上市公司AI团队官方,中概股＋全球AI,通义千问模型发布会影响阿里巴巴及中美AI竞争预期,核心关注,一手产品信息；与阿里财务影响需分开判断
14,@GoogleAIStudio,Google AI Studio,The fastest path from prompt to prototype to production with Gemini,187167,It's time to build,https://x.com/GoogleAIStudio,上市公司产品官方,美股AI,Gemini开发平台与模型能力更新可影响 Alphabet 及AI竞争格局,核心关注,一手产品信息；财务影响需另行验证
15,@OpenAINewsroom,OpenAI Newsroom,The official newsroom for @OpenAI.,155579,,https://x.com/OpenAINewsroom,AI公司官方,美股AI产业链,OpenAI重大产品、合作、治理与融资消息可影响微软及AI板块,核心关注,一手公司信息；对上市公司的影响属于市场推断
16,@dylan522p,Dylan Patel,"SemiAnalysis\nBoutique AI Infrastructure Research and Consulting\nDMs are open for consulting, quotes, or to talk shop,\nOpinions my own",152143,,https://x.com/dylan522p,产业研究／KOL,美股＋台湾供应链,AI算力、GPU、数据中心与半导体产业研究，影响市场对供应链的预期,核心关注,高价值研究观点，不等同公司官方事实
