source_id,coverage_category,source_url,publisher,publisher_group,market,source_type,verified_at,collection_status,monitoring_status,expected_interval,last_success_at,reliability_level
TW-A01,OFFICIAL,https://www.twse.com.tw/,臺灣證券交易所,twse,Taiwan,OFFICIAL_EXCHANGE,2026-08-13,MANUAL_OR_DOWNLOAD,NOT_MONITORED,NOT_PROVIDED,NEVER,A
TW-A02,OFFICIAL,https://openapi.twse.com.tw/,臺灣證券交易所 OpenAPI,twse,Taiwan,OFFICIAL_API,2026-08-13,API_VERIFIED,ON_DEMAND_SUCCESS_EXISTS_NOT_SCHEDULED,NOT_PROVIDED,2026-08-14T09:21:57.421521+00:00,A
TW-A03,COMPANY_ANNOUNCEMENT,https://mops.twse.com.tw/mops/web/index,公開資訊觀測站,twse,Taiwan,COMPANY_DISCLOSURE,2026-08-13,NEEDS_TECHNICAL_VALIDATION,NOT_MONITORED,NOT_PROVIDED,NEVER,A
TW-A04,OFFICIAL,https://www.tpex.org.tw/,證券櫃檯買賣中心,tpex,Taiwan,OFFICIAL_EXCHANGE,2026-08-13,NEEDS_TECHNICAL_VALIDATION,NOT_MONITORED,NOT_PROVIDED,NEVER,A
TW-A06,OFFICIAL,https://www.taifex.com.tw/,臺灣期貨交易所,taifex,Taiwan,OFFICIAL_EXCHANGE,2026-08-13,NEEDS_TECHNICAL_VALIDATION,NOT_MONITORED,NOT_PROVIDED,NEVER,A
TW-A07,OFFICIAL,https://www.taifex.com.tw/cht/3/futContractsDate,臺灣期貨交易所三大法人統計,taifex,Taiwan,OFFICIAL_DATA,2026-08-13,NEEDS_TECHNICAL_VALIDATION,NOT_MONITORED,NOT_PROVIDED,NEVER,A
TW-A09,OFFICIAL,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2",金融監督管理委員會,fsc,Taiwan,REGULATOR,2026-08-13,MANUAL_OR_HTML,NOT_MONITORED,NOT_PROVIDED,NEVER,A
TW-A10,OFFICIAL,"https://www.sfb.gov.tw/ch/home.jsp?id=2&parentpath=0",金融監督管理委員會證券期貨局,fsc,Taiwan,REGULATOR,2026-08-13,MANUAL_OR_HTML,NOT_MONITORED,NOT_PROVIDED,NEVER,A
TW-A12,OFFICIAL,https://www.cbc.gov.tw/,中央銀行,cbc,Taiwan,OFFICIAL_MACRO,2026-08-13,MANUAL_OR_DOWNLOAD,NOT_MONITORED,NOT_PROVIDED,NEVER,A
TW-B01,FINANCIAL_MEDIA,https://www.cna.com.tw/list/asc.aspx,中央通訊社,cna,Taiwan,MAINSTREAM_MEDIA,2026-08-13,NEEDS_TERMS_REVIEW,NOT_MONITORED,NOT_PROVIDED,NEVER,B
TW-B02,FINANCIAL_MEDIA,https://money.udn.com/,經濟日報,udn_money,Taiwan,FINANCIAL_MEDIA,2026-08-13,NEEDS_TERMS_REVIEW,NOT_MONITORED,NOT_PROVIDED,NEVER,B
TW-B03,FINANCIAL_MEDIA,https://www.ctee.com.tw/,工商時報,ctee,Taiwan,FINANCIAL_MEDIA,2026-08-13,BLOCKED_ROBOTS_OR_NEEDS_PERMISSION,NOT_MONITORED,NOT_PROVIDED,NEVER,B
TW-B04,FINANCIAL_MEDIA,https://tw.stock.yahoo.com/,Yahoo奇摩股市,yahoo_taiwan,Taiwan,FINANCIAL_AGGREGATOR,2026-08-13,NEEDS_TERMS_REVIEW,NOT_MONITORED,NOT_PROVIDED,NEVER,B
TW-B05,FINANCIAL_MEDIA,https://news.cnyes.com/,Anue鉅亨網,cnyes,Taiwan,FINANCIAL_MEDIA,2026-08-13,NEEDS_TERMS_REVIEW,NOT_MONITORED,NOT_PROVIDED,NEVER,B
TW-B06,FINANCIAL_MEDIA,https://www.moneydj.com/,MoneyDJ理財網,moneydj,Taiwan,FINANCIAL_MEDIA,2026-08-13,NEEDS_TERMS_REVIEW,NOT_MONITORED,NOT_PROVIDED,NEVER,B
TW-B07,FINANCIAL_MEDIA,https://technews.tw/,TechNews科技新報,technews,Taiwan,INDUSTRY_MEDIA,2026-08-13,NEEDS_TERMS_REVIEW,NOT_MONITORED,NOT_PROVIDED,NEVER,B
TW-B08,FINANCIAL_MEDIA,https://www.digitimes.com.tw/,DIGITIMES,digitimes,Taiwan,INDUSTRY_MEDIA,2026-08-13,NEEDS_LICENSE_OR_TERMS_REVIEW,NOT_MONITORED,NOT_PROVIDED,NEVER,B
