channel_id,channel_name,primary_market,closest_overlap_channels,market_overlap,entity_sector_overlap,topic_overlap,evidence_requirement_difference,content_depth_format_difference,same_event_probability,collision_risk,why_channel_distinction,provenance
ch-01-tw-stock-microscope,個股顯微鏡,TW,財報獵人;產業透視鏡;權值旗艦,HIGH,台股上市櫃公司,月營收;法說會;財報體質;公司營運變化,TWSE_TPEX_EOD;MOPS;MONTHLY_REVENUE_FINANCIALS_CALLS,DEEP_COMPANY,MEDIUM,MEDIUM,聚焦單一台股公司的營運與財務體質，不以盤面排行或跨公司輪動为主。,DERIVED_FROM_SUPPLIED
ch-02-tw-close-night-talk,收盤夜話,TW,權值旗艦;資金雷達,HIGH,大盤;類股,盤後結構;法人買賣超;融資券;明日觀察,TWSE_TPEX_EOD;MARKET_INDEX;INSTITUTIONAL_FLOW_MARGIN,DAILY_SUMMARY,HIGH,HIGH,面向无法盯盘的受众，用轻松口吻解释完整收盘结构；不做单股深度或长期产业报告。,DERIVED_FROM_SUPPLIED
ch-03-tw-industry-lens,產業透視鏡,TW,半導體駭客;資金雷達;個股顯微鏡,HIGH,半導體;AI伺服器;PCB;散熱;電子零組件,供應鏈;產業月營收;庫存週期;產能利用率;法人預期差,TWSE_TPEX_EOD;INDUSTRY_MAPPING;SUPPLY_CHAIN_DATA;CORPORATE_FUNDAMENTALS,DEEP_CROSS_ENTITY,HIGH,HIGH,以多公司上下游关系与产业基本面为核心，必须区分共现和已证实传导。,DERIVED_FROM_SUPPLIED
ch-04-tw-weighted-flagship,權值旗艦,TW,收盤夜話;那指火箭;資金雷達,HIGH,權值股;半導體;金融,大盤技術結構;權值領漲領跌;期現貨;除權息,TWSE_TPEX_EOD;MARKET_INDEX;FUTURES_INSTITUTIONAL;ADR,MARKET_STRUCTURE,HIGH,HIGH,以权值股对指数的贡献和期现货结构判断大盘，不做全市场聊天摘要。,DERIVED_FROM_SUPPLIED
ch-05-tw-capital-radar,資金雷達,TW,產業透視鏡;收盤夜話;華爾街溫度計,HIGH,22大產業;半導體;AI伺服器;散熱;PCB;生技,成交量異動;產業輪動;強弱切換;事件驅動族群,TWSE_TPEX_EOD;ANOMALY_ENGINE;INDUSTRY_MAPPING;INSTITUTIONAL_FLOW,FAST_SIGNAL,HIGH,HIGH,用日频价格/量能和产业分组捕捉轮动，必须把成交异动与真实资金净流入分开。,DERIVED_FROM_SUPPLIED
ch-06-us-nasdaq-rocket,那指火箭,US,半導體駭客;板塊輪動儀;財報獵人,MIXED,科技;AI晶片;雲端,指數展望;科技財報;產品週期;成分股排行,US_EOD;EARNINGS_CALENDAR;INTERNATIONAL_NEWS,GROWTH_TECH,HIGH,HIGH,聚焦 Nasdaq 100 与科技成长赛道，不覆盖全市场板块配置。,DERIVED_FROM_SUPPLIED
ch-07-us-sector-rotator,板塊輪動儀,US,華爾街溫度計;全球資金地圖;那指火箭,MIXED,科技;能源;金融;生技;醫療,板塊相對強弱;ETF資金;財報季差異;政策敏感度,US_EOD;SECTOR_ETF_FLOW;EARNINGS_MACRO_CALENDAR,ASSET_ALLOCATION,HIGH,HIGH,比较十一大板块的结构性轮动与配置，不把单一科技股事件当主产品。,DERIVED_FROM_SUPPLIED
ch-08-us-dark-pool-radar,暗池雷達,US,期權守門人;華爾街溫度計,MIXED,美股機構交易,暗池大單;Option Sweeps;Gamma;異常建倉,OPTIONS_DARK_POOL_FEED;US_EOD;US_SESSION_CLOCK,TACTICAL_DERIVATIVES,MEDIUM,HIGH,追踪暗池/期权异常交易，而非宏观风险或长期基本面；必须避免把订单流直接解释成机构意图。,DERIVED_FROM_SUPPLIED
ch-09-us-options-gatekeeper,期權守門人,US,暗池雷達;財商拆彈組;華爾街溫度計,MIXED,US options chains,波動率曲面;賣方策略;對沖;Covered Call;Cash-Secured Put,OPTIONS_CHAIN_IV;US_EOD;RISK_MODEL,RISK_EDUCATION,MEDIUM,MEDIUM,风险管理与策略教育优先，不是方向下注或异常订单追踪。,DERIVED_FROM_SUPPLIED
ch-10-us-earnings-hunter,財報獵人,US,個股顯微鏡;那指火箭,MIXED,科技;消費,10-K;10-Q;GAAP與Non-GAAP;自由現金流;Guidance,SEC_FILINGS;EARNINGS_CALENDAR;US_EOD,DEEP_FINANCIAL,MEDIUM,MEDIUM,直接核对 SEC 原档与会计质量，不以新闻转述或股价异动代替财报分析。,DERIVED_FROM_SUPPLIED
ch-11-global-macro-balance,宏觀天秤,GLOBAL,全球資金地圖;週期航海家;地緣炸藥庫,MIXED,大類資產,央行決議;利率路徑;CPI;PMI;NFP;週期定位,MACRO_CALENDAR;GLOBAL_MARKET_EOD;OFFICIAL_MACRO_DATA,MACRO_STRATEGY,HIGH,MEDIUM,以央行、经济数据和跨资产周期构建应对方案，不做单日个股方向预测。,DERIVED_FROM_SUPPLIED
ch-12-global-capital-map,全球資金地圖,GLOBAL,宏觀天秤;華爾街溫度計;板塊輪動儀,MIXED,跨資產,ETF申贖;殖利率曲線;避險流向;風險情緒,GLOBAL_ETF_FLOW;GLOBAL_EOD;FX_RATES,CROSS_ASSET_FLOW,HIGH,HIGH,核心是跨市场资金迁移路径，不等同于宏观周期叙事或单一美股情绪指标。,DERIVED_FROM_SUPPLIED
ch-13-geopolitical-powder-keg,地緣炸藥庫,GLOBAL,週期航海家;宏觀天秤,MIXED,能源;金屬;農產品,地緣事件;制裁;供應鏈中斷;商品傳導,AUTHORIZED_INTERNATIONAL_NEWS;COMMODITY_EOD;SUPPLY_CHAIN_EVIDENCE,EVENT_DRIVEN,MEDIUM,MEDIUM,只在重大地缘事件或商品异动时发布，强调传导路径而非日常商品周期。,DERIVED_FROM_SUPPLIED
ch-14-commodity-cycle-navigator,週期航海家,GLOBAL,地緣炸藥庫;宏觀天秤;全球資金地圖,MIXED,黃金;原油;銅;鐵礦石,供需庫存;資源股映射;金銀比;油金比;通脹對沖,COMMODITY_EOD;LME_SHFE_INVENTORY;BDI;RESOURCE_FILINGS,COMMODITY_CYCLE,HIGH,MEDIUM,以库存、供需与资源股映射解释中期商品周期，不以突发地缘新闻为唯一驱动。,DERIVED_FROM_SUPPLIED
ch-15-onchain-microscope,鏈上顯微鏡,CRYPTO,暗池雷達;華爾街溫度計,MIXED,加密貨幣,鏈上轉帳;籌碼成本;清算;OI;質押,ONCHAIN_PROVIDER;DERIVATIVES_OI_LIQUIDATION;CRYPTO_CLOCK,ONCHAIN_TACTICAL,LOW,LOW,使用链上和衍生品数据解释筹码，不是股票暗池或传统市场资金流。,DERIVED_FROM_SUPPLIED
ch-16-china-adr-weather-vane,中概風向球,US_CHINA_ADR,那指火箭;全球資金地圖;半導體駭客,MIXED,中概股;半導體;硬科技,美元流動性;機構持倉;估值折溢價;地緣政治,US_CHINA_ADR_EOD;FX;13F;AUTHORIZED_NEWS,CROSS_BORDER_EQUITY,HIGH,HIGH,专注中概资产在美元流动性和地缘框架下的定价，不等同于美股科技或全球ETF总览。,DERIVED_FROM_SUPPLIED
ch-17-financial-literacy-bomb-squad,財商拆彈組,GENERAL,期權守門人;定投實驗室,MIXED,理財教育,金融陷阱;費用;基礎科普;防詐;情緒風險,OFFICIAL_REGULATOR;PRODUCT_TERMS;AUTHORIZED_CASES,BEGINNER_EDUCATION,LOW,LOW,以白话事实核查和避坑教育为主，不输出具体标的买卖建议。,DERIVED_FROM_SUPPLIED
ch-18-semiconductor-hacker,半導體駭客,TW_US,產業透視鏡;那指火箭;中概風向球,MIXED,晶圓代工;先進封裝;設備材料;AI晶片;HBM,技術路線;良率;產能;設備材料;供應鏈訂單,TWSE_TPEX_EOD;US_EOD;SUPPLY_CHAIN_MAPPING;TECHNICAL_SOURCES,TECHNICAL_CROSS_ENTITY,HIGH,HIGH,跨台美与上下游解释技术壁垒，技术与订单事实必须可核验，不能由股价共现反推。,DERIVED_FROM_SUPPLIED
