channel_id,channel_name,twse_tpex_eod_status,historical_baseline_anomaly_status,industry_mapping_status,mops_material_disclosure_status,monthly_revenue_financials_calls_guidance_status,taiwan_news_status,international_news_status,x_status,us_eod_status,earnings_macro_calendar_status,channel_30d_adoption_history_status,feedback_1h_6h_24h_status,core_dependencies,critical_gaps,pilot_feasibility,evidence_basis
ch-01-tw-stock-microscope,個股顯微鏡,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,TWSE_TPEX_EOD;MOPS;MONTHLY_REVENUE_FINANCIALS_CALLS,月營收、完整財報、法說與 Guidance 未接入;历史采用/拒绝样例未提供,MEDIUM,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-02-tw-close-night-talk,收盤夜話,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,TWSE_TPEX_EOD;MARKET_INDEX;INSTITUTIONAL_FLOW_MARGIN,三大法人、融資券、當沖比等完整盘后数据未验证;频道近30天内容缺失,MEDIUM,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-03-tw-industry-lens,產業透視鏡,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,TWSE_TPEX_EOD;INDUSTRY_MAPPING;SUPPLY_CHAIN_DATA;CORPORATE_FUNDAMENTALS,Industry Mapping 未提交且未接 Topic;供应链、BB值、库存与产能利用率未接入,MEDIUM,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-04-tw-weighted-flagship,權值旗艦,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,TWSE_TPEX_EOD;MARKET_INDEX;FUTURES_INSTITUTIONAL;ADR,期货未平仓、ADR溢价与完整法人筹码未接入,MEDIUM,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-05-tw-capital-radar,資金雷達,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,TWSE_TPEX_EOD;ANOMALY_ENGINE;INDUSTRY_MAPPING;INSTITUTIONAL_FLOW,Industry Mapping 未接 Topic;现有 EOD 异常不等于法人或 ETF 资金净流入,HIGH,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-06-us-nasdaq-rocket,那指火箭,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,US_EOD;EARNINGS_CALENDAR;INTERNATIONAL_NEWS,美股 EOD 与财报日历未接入;国际新闻使用权未确认,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-07-us-sector-rotator,板塊輪動儀,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,US_EOD;SECTOR_ETF_FLOW;EARNINGS_MACRO_CALENDAR,美股板块 EOD、ETF 流量与日历未接入,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-08-us-dark-pool-radar,暗池雷達,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,OPTIONS_DARK_POOL_FEED;US_EOD;US_SESSION_CLOCK,暗池与期权流数据均未接入;“聪明钱真实选择”需证据边界,NOT_FEASIBLE,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-09-us-options-gatekeeper,期權守門人,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,OPTIONS_CHAIN_IV;US_EOD;RISK_MODEL,期权链、IV Rank、组合风险数据未接入;策略适用性与风险披露规则未确认,NOT_FEASIBLE,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-10-us-earnings-hunter,財報獵人,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,SEC_FILINGS;EARNINGS_CALENDAR;US_EOD,SEC 与财报日历未接入;美股 EOD 未接入,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
