channel_order,channel_name,sample_id,published_date,title,source_url,text_status,style_use,alignment_note
11,宏觀天秤,macro-balance-no-sample,,,USER_PROFILE_ONLY,NO_TRANSCRIPT,PROFILE_ONLY,尚無完整文稿
12,全球資金地圖,global-capital-map-2026-08-21,2026-08-21,美債衝5.3趴的資本饑荒：AI巨頭搶錢、韓國領漲，這輪美元潮汐準備獻祭誰？,https://youtu.be/UqYFp7kOb8c,COMPLETE_TRANSCRIPT,PROVISIONAL_STYLE,偏宏觀歷史與反共識敘事；缺完整ETF流量地圖
13,地緣炸藥庫,geopolitical-powder-keg-no-sample,,,USER_PROFILE_ONLY,NO_TRANSCRIPT,PROFILE_ONLY,尚無完整文稿
14,週期航海家,cycle-navigator-no-sample,,,USER_PROFILE_ONLY,NO_TRANSCRIPT,PROFILE_ONLY,尚無完整文稿
15,鏈上顯微鏡,onchain-microscope-2026-08-18,2026-08-18,哈佛捐贈基金不賣了！持有1.014億美元IBIT按兵不動，機構巨鯨是轉多還是鑽石手？,https://youtu.be/VnMZC05BX64,COMPLETE_TRANSCRIPT,PROVISIONAL_STYLE,13F機構持倉而非地址級鏈上資料
15,鏈上顯微鏡,onchain-microscope-2026-08-20,2026-08-20,比特幣插針衝破7萬美元！1小時10億空單慘遭軋空，這波是拉盤起飛還是死魚盤？,https://youtu.be/Koniz6oyBtQ,COMPLETE_TRANSCRIPT,PROVISIONAL_STYLE,清算機制而非地址級鏈上資料
16,中概風向球,china-adr-wind-vane-2026-08-18,2026-08-18,標普寫新高，SNDK卻單週噴35%、META血洗3.54%：AI行情正在拆骨重估,https://youtu.be/tKJNwQ3GHzA,COMPLETE_TRANSCRIPT,PROVISIONAL_STYLE,偏美股記憶體與軟體輪動；中概只是後段
16,中概風向球,china-adr-wind-vane-2026-08-20,2026-08-20,指數沒動、中概八檔全紅：這場史詩級資金搬風，誰在偷偷換座位、誰會當最後接棒者？,https://youtu.be/ibsC9kwrvgY,COMPLETE_TRANSCRIPT,PROVISIONAL_STYLE,符合中概跨市場風向
17,財商拆彈組,financial-bomb-squad-2026-08-18,2026-08-18,跌50%要漲100%才回本！散戶別急著All in，理財第一步先築安全墊,https://youtu.be/GUs6z2Aw5bA,COMPLETE_TRANSCRIPT,PROVISIONAL_STYLE,符合小白理財避坑定位
17,財商拆彈組,financial-bomb-squad-2026-08-20,2026-08-20,MRNA單日暴漲177%！mRNA癌症疫苗三期過關，左側砍在阿呆谷的痛誰懂？,https://youtu.be/j7NYsunjZ14,COMPLETE_TRANSCRIPT,PROVISIONAL_STYLE,單股生技與個人交易教訓；偏離頻道理財避坑定位
18,半導體駭客,semiconductor-hacker-no-sample,,,USER_PROFILE_ONLY,NO_TRANSCRIPT,PROFILE_ONLY,尚無完整文稿
19,華爾街溫度計,wall-street-thermometer-no-sample,,,USER_PROFILE_ONLY,NO_TRANSCRIPT,PROFILE_ONLY,尚無完整文稿
20,定投實驗室,dca-lab-no-sample,,,USER_PROFILE_ONLY,NO_TRANSCRIPT,PROFILE_ONLY,尚無完整文稿
