registry_source_id,platform,source_type,account_handle,profile_url,channel_name,channel_id,channel_url,publisher,publisher_group,market,language,category,verified_at,verification_evidence_url,monitoring_method,source_status,monitoring_status,expected_interval_minutes,candidate_origin,single_connectivity_verified,continuous_sla_verified,notes
TW-A01,WEB,OFFICIAL_EXCHANGE,,,,,,臺灣證券交易所,twse,TW,zh-Hant,OFFICIAL,2026-08-13,https://www.twse.com.tw/,MANUAL_DOWNLOAD,VERIFIED_MANUAL_ONLY,NOT_CONTINUOUSLY_MONITORED,,P01,true,false,入口存在已核验；不等于允许自动采集
TW-A02,API,OFFICIAL_API,,,,,,臺灣證券交易所 OpenAPI,twse,TW,zh-Hant,OFFICIAL,2026-08-13,https://openapi.twse.com.tw/,ON_DEMAND_API,VERIFIED_MANUAL_ONLY,ON_DEMAND_SUCCESS_NOT_RADAR_SCHEDULED,,P01,true,false,已有官方数据采集能力；本任务不重复开发
TW-A03,WEB,COMPANY_DISCLOSURE,,,,,,公開資訊觀測站,twse,TW,zh-Hant,COMPANY_ANNOUNCEMENT,2026-08-13,https://mops.twse.com.tw/mops/web/index,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TECHNICAL_AND_TERMS_VALIDATION,,P01,true,false,不得自动推断采集许可
TW-A04,WEB,OFFICIAL_EXCHANGE,,,,,,證券櫃檯買賣中心,tpex,TW,zh-Hant,OFFICIAL,2026-08-13,https://www.tpex.org.tw/,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TECHNICAL_VALIDATION,,P01,true,false,
TW-A06,WEB,OFFICIAL_EXCHANGE,,,,,,臺灣期貨交易所,taifex,TW,zh-Hant,OFFICIAL,2026-08-13,https://www.taifex.com.tw/,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TECHNICAL_VALIDATION,,P01,true,false,
TW-A07,WEB,OFFICIAL_DATA,,,,,,臺灣期貨交易所三大法人統計,taifex,TW,zh-Hant,OFFICIAL,2026-08-13,https://www.taifex.com.tw/cht/3/futContractsDate,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TECHNICAL_VALIDATION,,P01,true,false,
TW-A09,WEB,REGULATOR,,,,,,金融監督管理委員會,fsc,TW,zh-Hant,OFFICIAL,2026-08-13,"https://www.fsc.gov.tw/ch/home.jsp?id=96&parentpath=0,2",MANUAL_HTML,VERIFIED_MANUAL_ONLY,NOT_CONTINUOUSLY_MONITORED,,P01,true,false,
TW-A10,WEB,REGULATOR,,,,,,金融監督管理委員會證券期貨局,fsc,TW,zh-Hant,OFFICIAL,2026-08-13,"https://www.sfb.gov.tw/ch/home.jsp?id=2&parentpath=0",MANUAL_HTML,VERIFIED_MANUAL_ONLY,NOT_CONTINUOUSLY_MONITORED,,P01,true,false,与FSC同publisher_group
TW-A12,WEB,OFFICIAL_MACRO,,,,,,中央銀行,cbc,TW,zh-Hant,OFFICIAL,2026-08-13,https://www.cbc.gov.tw/,MANUAL_DOWNLOAD,VERIFIED_MANUAL_ONLY,NOT_CONTINUOUSLY_MONITORED,,P01,true,false,
TW-B01,WEB,MAINSTREAM_MEDIA,,,,,,中央通訊社,cna,TW,zh-Hant,FINANCIAL_MEDIA,2026-08-13,https://www.cna.com.tw/list/asc.aspx,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TERMS_REVIEW,,P01,true,false,
