candidate_no,channel_name,document_region,candidate_url,channel_id,market,language,category,verified_at,latest_video_at,monitoring_status,notes
1,Graham Stephan,USA,https://www.youtube.com/@GrahamStephan,,NOT_TAIWAN,en,PERSONAL_FINANCE,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
2,The Plain Bagel,Canada,https://www.youtube.com/@ThePlainBagel,,NOT_TAIWAN,en,INVESTING_EDUCATION,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
3,Joseph Carlson Show,USA,https://www.youtube.com/@JosephCarlsonShow,,NOT_TAIWAN,en,INVESTING,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
4,Everything Money,USA,https://www.youtube.com/@EverythingMoney,,NOT_TAIWAN,en,INVESTING,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
5,Ben Felix,Canada,https://www.youtube.com/@BenFelixCSI,,NOT_TAIWAN,en,INVESTING_EDUCATION,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
6,"Sven Carlin, Ph.D.",Europe,https://www.youtube.com/@svencarlin,,NOT_TAIWAN,en,INVESTING,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
7,Tom Nash,USA,https://www.youtube.com/@TomNashTV,,NOT_TAIWAN,en,STOCK_ANALYSIS,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
8,Financial Education (Jeremy),USA,https://www.youtube.com/@FinancialEducation,,NOT_TAIWAN,en,STOCK_ANALYSIS,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
9,"Parkev Tatevosian, CFA",USA,https://www.youtube.com/@ParkevTatevosianCFA9544,,NOT_TAIWAN,en,STOCK_ANALYSIS,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
10,Ticker Symbol: YOU,USA,https://www.youtube.com/@TickerSymbolYOU,,NOT_TAIWAN,en,STOCK_RESEARCH,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
11,Mark Tilbury,UK,https://www.youtube.com/@marktilbury,,NOT_TAIWAN,en,PERSONAL_FINANCE,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
12,Ross Cameron - Warrior Trading,USA,https://www.youtube.com/@WarriorTrading,,NOT_TAIWAN,en,TRADING_EDUCATION,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
13,Ricky Gutierrez,USA,https://www.youtube.com/@RickyGutierrez,,NOT_TAIWAN,en,TRADING_EDUCATION,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
14,Andrei Jikh,USA,https://www.youtube.com/@AndreiJikh,,NOT_TAIWAN,en,PERSONAL_FINANCE,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
15,Humphrey Yang,USA,https://www.youtube.com/@HumphreyTalks,,NOT_TAIWAN,en,PERSONAL_FINANCE,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
